Titre;Date_debut;Date_fin;Lieu;Description
Soutien RT1-RT2 (Non Obligatoire);20231026T120000Z;20231026T160000Z;G_002\,D_110\,G_003\,G_019\,G_004\,D_032\,G_012;\n\nRT1-S1\n(Exporté le:10/01/2024 06:47)\n
R1.03 DS TP;20231130T070000Z;20231130T110000Z;G_019;\n\nRT1-TP B1\nCHEMINEAU CHRISTOPHE\n(Exporté le:10/01/2024 0
R1.06;20231012T060000Z;20231012T100000Z;G_004;\n\nRT1-TP B2\nHEYRAUD CHRISTOPHE\n(Exporté le:10/01/2024 06:
R1.10;20240112T090000Z;20240112T110000Z;D_032;\n\nRT1-TP A2\nTCHEN CASSANDRA\n(Exporté le:10/01/2024 06:47)
R1.01c;20231020T120000Z;20231020T140000Z;G_012;\n\nRT1-TD B\nMARTINI PIERRE\n(Exporté le:10/01/2024 06:47)\n
SAE1.01 2H;20230919T060000Z;20230919T080000Z;G_004;\n\nRT1-TP B1\n(Exporté le:10/01/2024 06:47)\n
SAE1.01 MIPE;20230907T100000Z;20230907T110000Z;G_016;\n\nRT1-TD A\nBIARD MATHIEU\n(Exporté le:10/01/2024 06:47)\n
SAE1.PORTFOLIO en 1ER;20230920T140000Z;20230920T160000Z;G_019;\n\nRT1-TP B1\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
R1.01b;20230914T080000Z;20230914T100000Z;G_012;\n\nRT1-TD A\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 0
SAE1.04 1h EN 2EME;20240110T130000Z;20240110T140000Z;G_004;\n\nRT1-TP A2\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
R1.10;20240117T150000Z;20240117T170000Z;D_024;\n\nRT1-TP B2\nDO RAMO BERRY CARLOS\n(Exporté le:10/01/2024 0
R1.06;20230905T120000Z;20230905T140000Z;D_032;\n\nRT1-S1\nHEYRAUD CHRISTOPHE\n(Exporté le:10/01/2024 06:47)
R1.10;20231220T150000Z;20231220T170000Z;D_026;\n\nRT1-TP B1\nDO RAMO BERRY CARLOS\n(Exporté le:10/01/2024 0
SAE1.01 SUIVI;20230928T080000Z;20230928T090000Z;G_012;\n\nRT1-TP B1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.07 TD 2H;20230929T060000Z;20230929T080000Z;G_003;\n\nRT1-TD A\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
SAE1.02 2H;20231212T090000Z;20231212T110000Z;G_019;\n\nRT1-TP A2\n(Exporté le:10/01/2024 06:47)\n
R1.07 TP;20231122T070000Z;20231122T090000Z;G_002;\n\nRT1-TP A1\nLASSOUED FARID\n(Exporté le:10/01/2024 06:47)\
R1.04 TP;20231109T090000Z;20231109T110000Z;G_004;\n\nRT1-TP A2\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
R1.01b;20230913T140000Z;20230913T160000Z;G_004;\n\nRT1-TD B\nCHAMBERT CHRISTOPHE\n(Exporté le:10/01/2024 06:
R1.02;20231024T060000Z;20231024T080000Z;G_004;\n\nRT1-TD A\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024 0
R1.07 TP;20231219T120000Z;20231219T140000Z;G_004;\n\nRT1-TP A2\nLACAN DAVID\n(Exporté le:10/01/2024 06:47)\n
R1.10;20231215T090000Z;20231215T110000Z;D_032;\n\nRT1-TP A1\nTCHEN CASSANDRA\n(Exporté le:10/01/2024 06:47)
R1.02;20231207T070000Z;20231207T110000Z;D_110;\n\nRT1-TP B2\nMATICHARD PIERRE-JEAN\n(Exporté le:10/01/2024
R1.04 DS TP;20231204T090000Z;20231204T110000Z;G_004;\n\nRT1-TP A2\nAZNI MOHAMED\n(Exporté le:10/01/2024 06:47)\n
R1.10;20231129T130000Z;20231129T150000Z;D_032;\n\nRT1-TP A2\nTCHEN CASSANDRA\n(Exporté le:10/01/2024 06:47)
